名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,,(単位:10億円)
Nominal Gross Domestic Product (original series),,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,,(Billion Yen)
,?内?生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫品?加,政府最終消費支出,公的固定?本形成,公的在庫品?加,財貨・サービス,,,,海外からの?得,,,?民??得,,?内需要,民間需要,公的需要,,?固定?本形成,,?内?生産(支出側)(?FISIM）,家計最終消費支出（?FISIM）,財貨・サービス,
http://www.data.go.jp/data/en/dataset/cao_20160201_0056/resource/d54c9af2-77d5-4c51-9f17-19c75be88fc3?inner_span=True,,,家計最終消費支出,,,,,,,,?輸出,輸出,輸入,,?受取,受取,支払,,,,,,,,,,,輸出,輸入
,,,,?く?ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,（?FISIM）,（?FISIM）
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,GDP,Consumption ofHouseholds,Export,Import
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,Excluding FISIM,,,
1994/ 1- 3.,"119,879.20","66,316.00","65,711.10","57,112.60","5,710.00","19,654.60","-2,954.10","17,022.50","11,442.30",-113.5,"2,801.60","11,122.80","8,321.20",,"1,135.30","4,469.00","3,333.70","121,014.50",,"117,077.60","88,726.40","28,351.20",,"36,806.80",,"118,660.50","64,664.70","11,009.80","8,252.00"
4- 6.,"120,882.80","66,235.30","64,950.30","56,248.90","6,034.30","16,982.40",729.9,"19,616.30","8,914.90",32.6,"2,337.10","10,834.40","8,497.30",,"1,158.40","4,020.10","2,861.70","122,041.20",,"118,545.70","89,981.90","28,563.80",,"31,931.50",,"119,636.00","63,815.60","10,752.80","8,394.00"
7- 9.,"122,430.10","69,862.50","68,710.30","59,895.90","7,096.80","18,115.90",-782.6,"15,892.30","9,867.90",113.6,"2,263.50","11,115.00","8,851.50",,803.8,"4,079.40","3,275.60","123,233.90",,"120,166.60","94,292.70","25,873.80",,"35,080.70",,"121,131.80","67,528.80","11,033.40","8,748.20"
10-12.,"132,551.40","71,581.00","69,926.20","60,991.50","6,663.50","16,843.40","1,734.40","20,310.90","12,631.00",327.6,"2,459.50","11,555.30","9,095.80",,839.7,"3,934.30","3,094.60","133,391.10",,"130,091.90","96,822.40","33,269.50",,"36,137.90",,"131,219.30","68,717.70","11,473.70","8,992.50"
1995/ 1- 3.,"119,748.00","67,030.30","66,400.20","57,394.50","6,009.30","19,445.70","-3,139.20","17,958.50","10,533.60",-49.7,"1,959.60","11,105.60","9,146.00",,"1,090.80","4,798.70","3,707.90","120,838.80",,"117,788.40","89,346.10","28,442.30",,"35,988.60",,"118,397.40","65,188.80","11,024.00","9,042.70"
4- 6.,"123,289.20","67,572.30","66,222.60","57,121.20","5,823.00","17,516.90","2,001.20","20,401.90","8,252.30",-31.3,"1,753.00","10,547.70","8,794.80",,960.9,"4,053.50","3,092.60","124,250.20",,"121,536.30","92,913.40","28,622.90",,"31,592.20",,"121,939.30","65,012.60","10,512.50","8,714.30"
7- 9.,"123,408.00","70,142.20","68,951.90","59,739.10","6,127.90","18,562.60",65.1,"16,608.50","10,278.40",-6.1,"1,629.50","11,523.70","9,894.30",,"1,048.10","5,101.00","4,052.90","124,456.10",,"121,778.50","94,897.80","26,880.70",,"34,968.80",,"122,032.10","67,736.80","11,488.50","9,813.80"
10-12.,"135,261.70","72,999.30","71,294.30","61,990.90","6,177.10","17,044.70","2,703.10","21,224.40","13,456.60",198.2,"1,458.30","12,240.30","10,782.10",,"1,014.50","4,902.80","3,888.30","136,276.20",,"133,803.40","98,924.10","34,879.30",,"36,678.50",,"133,853.80","70,065.20","12,205.10","10,701.60"
