"來臺旅客人數按居住地分-月 依 期間, 居住地別 與 種類"

" "," 合計"," "," 亞洲"," "," 亞洲-香港、澳門"," "," 亞洲-中國大陸"," "," 亞洲-日本"," "," 美洲"," "," 歐洲"," "," 大洋洲"," "," 非洲"," "," 未列明"," "
" "," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"
"1981M01",122717,2.80,100685,-0.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M02",110381,-2.43,92668,-3.91,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M03",123247,2.44,100180,1.52,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M04",118966,4.55,92730,2.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M05",115844,4.80,89194,1.12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M06",115778,8.80,91832,7.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M07",105157,-0.75,83361,-0.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M08",125309,10.45,102486,9.49,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M09",108001,5.86,85642,3.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M10",139974,-3.67,106829,-6.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M11",118659,-8.74,92821,-10.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1981M12",105432,-6.63,84862,-7.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M01",121786,-0.76,103926,3.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M02",119310,8.09,102176,10.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M03",119039,-3.41,98414,-1.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M04",121047,1.75,97522,5.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M05",106709,-7.89,83959,-5.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M06",108002,-6.72,87461,-4.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M07",117143,11.40,92550,11.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M08",118075,-5.77,97739,-4.63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"1982M09",106810,-1.10,87606,2.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
