"國民所得統計常用資料(2008SNA)-季 依 期間, 指標 與 種類"

" ","期中人口(人)"," "," 平均匯率(元/美元)"," "," 經濟成長(%)"," "," 國內生產毛額GDP(名目值，百萬元)"," "," 國內生產毛額GDP(名目值，百萬美元)"," "," 平均每人GDP(名目值，元)"," "," 平均每人GDP(名目值，美元)"," "," 國民所得毛額GNI(名目值，百萬元)"," "," 國民所得毛額GNI(名目值，百萬美元)"," "," 平均每人GNI(名目值，元)"," "," 平均每人GNI(名目值，美元)"," "," 國民所得(名目值，百萬元)"," "," 國民所得(名目值，百萬美元)"," "," 平均每人所得(名目值，元)"," "," 平均每人所得(名目值，美元)"," "
" ","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)"
"1961Q1",10895610,-,40.00,--,-,--,17545,-,439,-,1610,-,40,-,17524,-,438,-,1609,-,40,-,-,-,-,-,-,-,-,-
"1961Q2",10985460,-,40.00,--,-,--,17270,-,432,-,1572,-,39,-,17249,-,431,-,1571,-,39,-,-,-,-,-,-,-,-,-
"1961Q3",11075310,-,40.00,--,-,--,16214,-,405,-,1464,-,37,-,16194,-,405,-,1463,-,37,-,-,-,-,-,-,-,-,-
"1961Q4",11165159,-,40.00,--,-,--,20099,-,502,-,1802,-,45,-,20078,-,502,-,1798,-,45,-,-,-,-,-,-,-,-,-
"1962Q1",11255692,3.30,40.00,--,8.87,--,18729,6.75,468,6.61,1665,3.42,42,5.00,18701,6.72,468,6.85,1662,3.29,42,5.00,-,-,-,-,-,-,-,-
"1962Q2",11346906,3.29,40.00,--,9.11,--,19149,10.88,479,10.88,1689,7.44,42,7.69,19122,10.86,478,10.90,1686,7.32,42,7.69,-,-,-,-,-,-,-,-
"1962Q3",11438121,3.28,40.00,--,12.39,--,18535,14.31,463,14.32,1621,10.72,41,10.81,18508,14.29,463,14.32,1619,10.66,40,8.11,-,-,-,-,-,-,-,-
"1962Q4",11529335,3.26,40.00,--,6.05,--,21999,9.45,550,9.56,1908,5.88,47,4.44,21971,9.43,549,9.36,1906,6.01,48,6.67,-,-,-,-,-,-,-,-
"1963Q1",11621732,3.25,40.00,--,14.39,--,21915,17.01,548,17.09,1887,13.33,47,11.90,21886,17.03,547,16.88,1883,13.30,47,11.90,-,-,-,-,-,-,-,-
"1963Q2",11715312,3.25,40.00,--,10.91,--,21580,12.70,540,12.73,1842,9.06,46,9.52,21551,12.70,539,12.76,1840,9.13,46,9.52,-,-,-,-,-,-,-,-
"1963Q3",11808891,3.24,40.00,--,7.35,--,20498,10.59,512,10.58,1736,7.09,43,4.88,20470,10.60,512,10.58,1733,7.04,43,7.50,-,-,-,-,-,-,-,-
"1963Q4",11902471,3.24,40.00,--,10.33,--,24747,12.49,619,12.55,2080,9.01,53,12.77,24720,12.51,618,12.57,2079,9.08,52,8.33,-,-,-,-,-,-,-,-
