"外匯匯率-美元兌新台幣遠期匯率-月 依 期間, 期限, 匯率 與 種類",,,,,,,,,,,,,,,,,,,,,,,,
http://statdb.dgbas.gov.tw/pxweb/dialog/..%5CDialog%5Cvarval.asp?ma=FM3202A1M&ti=%A5~%B6%D7%B2%CE%ADp-%A7Y%B4%C1%B6%D7%B2v-%A4%EB&path=../PXfile/FinancialStatistics/&lang=9&strList=L,,,,,,,,,,,,,,,,,,,,,,,,
 , 10天, , , , 30天, , , , 60天, , , , 90天, , , , 120天, , , , 180天, , , 
 , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, , 買入匯率, , 賣出匯率, 
 , 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%)
1997M01,27.4,0,27.515,0.16,27.4,0.04,27.515,0.27,27.395,0.09,27.505,0.42,27.39,0.15,27.505,0.53,27.39,0.22,27.505,0.67,27.39,0.29,27.505,0.82
1997M02,27.455,-0.09,27.615,-0.16,27.455,-0.05,27.615,-0.05,27.455,-0.02,27.625,0.02,27.475,-0.05,27.63,0.04,27.475,0.02,27.635,0.24,27.475,0.09,27.64,0.36
1997M03,27.512,-1.13,27.607,-1.11,27.515,-1.13,27.62,-1.05,27.525,-1.11,27.63,-1.07,27.53,-1.09,27.645,-1.09,27.535,-1.07,27.65,-1.05,27.545,-1.07,27.68,-1.08
1997M04,27.624,-1.82,27.716,-1.79,27.632,-1.83,27.728,-1.78,27.64,-1.81,27.75,-1.8,27.645,-1.79,27.76,-1.8,27.65,-1.77,27.77,-1.78,27.67,-1.77,27.79,-1.78
1997M05,27.812,-0.72,27.905,-0.65,27.805,-0.7,27.906,-0.63,27.795,-0.63,27.906,-0.61,27.795,-0.61,27.906,-0.54,27.79,-0.56,27.906,-0.49,27.78,-0.47,27.906,-0.42
1997M06,27.783,-1.18,27.885,-1.21,27.81,-1.32,27.935,-1.4,27.81,-1.33,27.95,-1.45,27.81,-1.37,27.95,-1.43,27.815,-1.33,27.955,-1.43,27.815,-1.31,27.955,-1.4
1997M07,28.578,-3.82,28.677,-3.83,28.595,-3.92,28.71,-3.95,28.63,-4.09,28.75,-4.12,28.67,-4.29,28.795,-4.29,28.69,-4.36,28.84,-4.42,28.73,-4.49,28.9,-4.64
1997M08,28.623,-4.2,28.73,-4.23,28.67,-4.36,28.79,-4.4,28.7,-4.49,28.85,-4.61,28.75,-4.66,28.91,-4.81,28.8,-4.83,28.96,-4.97,28.85,-4.99,29.07,-5.26
