"航空客、貨運-月 依 期間, 國內外別, 指標 與 種類"

" "," 合計"," "," "," "," "," "," "," "," "," "," 國內航線"," "," "," "," "," "," "," "," "," "," 國際航線"," "," "," "," "," "," "," "," "," "
" "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "
" "," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"
"2002M01",22477,...,1927881,...,4196352,...,99127,...,621548,...,16352,...,849396,...,258323,...,5101,...,712,...,6125,...,1078485,...,3938028,...,94026,...,620835,...
"2002M02",21727,...,2059016,...,4087352,...,88708,...,551849,...,15603,...,926161,...,283996,...,5746,...,621,...,6124,...,1132855,...,3803357,...,82962,...,551229,...
"2002M03",22596,...,2135477,...,4334129,...,117882,...,772828,...,16256,...,935628,...,287024,...,4594,...,669,...,6340,...,1199849,...,4047105,...,113288,...,772159,...
"2002M04",23292,...,2205807,...,4299989,...,110782,...,711011,...,16420,...,981967,...,305004,...,5148,...,738,...,6872,...,1223840,...,3994985,...,105634,...,710273,...
"2002M05",23994,...,2195014,...,4513253,...,112892,...,725142,...,16843,...,974171,...,303135,...,5163,...,887,...,7151,...,1220843,...,4210118,...,107729,...,724255,...
"2002M06",22743,...,1970926,...,4227878,...,110623,...,722868,...,16059,...,874224,...,273869,...,4455,...,713,...,6684,...,1096702,...,3954008,...,106168,...,722155,...
"2002M07",23733,...,2191907,...,4671781,...,110045,...,721286,...,16103,...,928082,...,289505,...,4691,...,722,...,7630,...,1263825,...,4382276,...,105354,...,720564,...
"2002M08",24458,...,2241405,...,4849251,...,112392,...,727449,...,16640,...,931109,...,289358,...,4699,...,746,...,7818,...,1310296,...,4559893,...,107693,...,726703,...
"2002M09",21827,...,1907545,...,3938909,...,114860,...,756941,...,14957,...,812102,...,252636,...,4365,...,727,...,6870,...,1095443,...,3686273,...,110495,...,756214,...
"2002M10",23243,...,1981696,...,3917640,...,130656,...,885081,...,16089,...,861896,...,270182,...,4244,...,741,...,7154,...,1119800,...,3647458,...,126412,...,884339,...
"2002M11",22145,...,1894345,...,3798599,...,126401,...,832474,...,15252,...,840655,...,262685,...,4414,...,691,...,6893,...,1053690,...,3535914,...,121987,...,831783,...
"2002M12",22462,...,1963952,...,4222496,...,110326,...,714191,...,15404,...,832891,...,259834,...,4484,...,722,...,7058,...,1131061,...,3962662,...,105842,...,713469,...
"2003M01",23223,3.32,1985795,3.00,4531572,7.99,111138,12.12,701272,12.83,15835,-3.16,823237,-3.08,255170,-1.22,5348,4.84,853,19.66,7388,20.62,1162558,7.80,4276403,8.59,105790,12.51,700419,12.82
