"觀光旅館概況-月 依 期間, 旅館等級, 指標 與 種類",,,,,,,,,,,,
http://statdb.dgbas.gov.tw/pxweb/Dialog/varval.asp?ma=TK0301A1M&ti=%C6[%A5%FA%AE%C8%C0]%B7%A7%AAp-%A4%EB&path=../PXfile/Transportation/&lang=9&strList=L,,,,,,,,,,,,
 , 合計, , , , 國際觀光旅館, , , , 一般觀光旅館, , , 
 , 期底家數(家), , 期底房間數(間), , 期底家數(家), , 期底房間數(間), , 期底家數(家), , 期底房間數(間), 
 , 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%), 原始值, 年增率(%)
2001M01,80,...,19928,...,56,...,17057,...,24,...,2871,...
2001M02,80,...,19962,...,56,...,17091,...,24,...,2871,...
2001M03,80,...,19957,...,56,...,17086,...,24,...,2871,...
2001M04,80,...,19957,...,56,...,17086,...,24,...,2871,...
2001M05,80,...,19941,...,56,...,17070,...,24,...,2871,...
2001M06,82,...,20343,...,57,...,17346,...,25,...,2997,...
2001M07,82,...,20320,...,57,...,17346,...,25,...,2974,...
2001M08,82,...,20320,...,57,...,17346,...,25,...,2974,...
2001M09,82,...,20320,...,57,...,17346,...,25,...,2974,...
2001M10,82,...,20537,...,57,...,17563,...,25,...,2974,...
2001M11,82,...,20537,...,57,...,17563,...,25,...,2974,...
2001M12,83,...,20789,...,58,...,17815,...,25,...,2974,...
2002M01,83,3.75,20392,2.33,58,3.57,17678,3.64,25,4.17,2714,-5.47
2002M02,83,3.75,20479,2.59,58,3.57,17765,3.94,25,4.17,2714,-5.47
2002M03,84,5,20939,4.92,59,5.36,17965,5.14,25,4.17,2974,3.59
2002M04,84,5,20928,4.87,59,5.36,17954,5.08,25,4.17,2974,3.59
2002M05,84,5,20928,4.95,59,5.36,17954,5.18,25,4.17,2974,3.59
2002M06,84,2.44,20928,2.88,59,3.51,17954,3.51,25,0,2974,-0.77
2002M07,84,2.44,20928,2.99,59,3.51,17954,3.51,25,0,2974,0
2002M08,84,2.44,20928,2.99,59,3.51,17954,3.51,25,0,2974,0
2002M09,85,3.66,21268,4.67,60,5.26,18295,5.47,25,0,2973,-0.03
2002M10,85,3.66,21268,3.56,60,5.26,18295,4.17,25,0,2973,-0.03
2002M11,87,6.1,21763,5.97,62,8.77,18790,6.99,25,0,2973,-0.03
2002M12,87,4.82,21763,4.69,62,6.9,18790,5.47,25,0,2973,-0.03
2003M01,86,3.61,21713,6.48,62,6.9,18790,6.29,24,-4,2923,7.7
2003M02,86,3.61,21648,5.71,61,5.17,18579,4.58,25,0,3069,13.08
2003M03,86,2.38,21648,3.39,61,3.39,18579,3.42,25,0,3069,3.19
2003M04,85,1.19,21583,3.13,61,3.39,18579,3.48,24,-4,3004,1.01
2003M05,86,2.38,21699,3.68,61,3.39,18579,3.48,25,0,3120,4.91
2003M06,86,2.38,21699,3.68,61,3.39,18579,3.48,25,0,3120,4.91
2003M07,86,2.38,21699,3.68,61,3.39,18579,3.48,25,0,3120,4.91
2003M08,86,2.38,21699,3.68,61,3.39,18579,3.48,25,0,3120,4.91
2003M09,86,1.18,21699,2.03,61,1.67,18579,1.55,25,0,3120,4.94
2003M10,86,1.18,21699,2.03,61,1.67,18579,1.55,25,0,3120,4.94
2003M11,86,-1.15,21699,-0.29,61,-1.61,18579,-1.12,25,0,3120,4.94
2003M12,87,0,21896,0.61,62,0,18776,-0.07,25,0,3120,4.94
2004M01,87,1.16,21896,0.84,62,0,18776,-0.07,25,4.17,3120,6.74
2004M02,87,1.16,21877,1.06,62,1.64,18757,0.96,25,0,3120,1.66
2004M03,87,1.16,21896,1.15,62,1.64,18776,1.06,25,0,3120,1.66
2004M04,87,2.35,21895,1.45,62,1.64,18775,1.05,25,4.17,3120,3.86
2004M05,87,1.16,21733,0.16,62,1.64,18767,1.01,25,0,2966,-4.94
2004M06,87,1.16,21527,-0.79,61,0,18501,-0.42,26,4,3026,-3.01
2004M07,86,0,21407,-1.35,60,-1.64,18381,-1.07,26,4,3026,-3.01
2004M08,86,0,21407,-1.35,60,-1.64,18381,-1.07,26,4,3026,-3.01
2004M09,86,0,21424,-1.27,60,-1.64,18398,-0.97,26,4,3026,-3.01
2004M10,87,1.16,21735,0.17,61,0,18709,0.7,26,4,3026,-3.01
2004M11,87,1.16,21744,0.21,61,0,18705,0.68,26,4,3039,-2.6
2004M12,87,0,21744,-0.69,61,-1.61,18705,-0.38,26,4,3039,-2.6
2005M01,87,0,21744,-0.69,61,-1.61,18705,-0.38,26,4,3039,-2.6
2005M02,87,0,21744,-0.61,61,-1.61,18705,-0.28,26,4,3039,-2.6
2005M03,87,0,21701,-0.89,61,-1.61,18705,-0.38,26,4,2996,-3.97
2005M04,87,0,21700,-0.89,61,-1.61,18705,-0.37,26,4,2995,-4.01
2005M05,88,1.15,21898,0.76,62,0,18903,0.72,26,4,2995,0.98
2005M06,88,1.15,21898,1.72,62,1.64,18903,2.17,26,0,2995,-1.02
2005M07,88,2.33,21898,2.29,62,3.33,18903,2.84,26,0,2995,-1.02
2005M08,88,2.33,21898,2.29,62,3.33,18903,2.84,26,0,2995,-1.02
2005M09,88,2.33,21898,2.21,62,3.33,18903,2.74,26,0,2995,-1.02
2005M10,88,1.15,21898,0.75,62,1.64,18903,1.04,26,0,2995,-1.02
2005M11,88,1.15,21898,0.71,62,1.64,18903,1.06,26,0,2995,-1.45
2005M12,87,0,21434,-1.43,60,-1.64,18385,-1.71,27,3.85,3049,0.33
2006M01,87,0,21434,-1.43,60,-1.64,18385,-1.71,27,3.85,3049,0.33
2006M02,86,-1.15,21189,-2.55,59,-3.28,18140,-3.02,27,3.85,3049,0.33
2006M03,86,-1.15,21189,-2.36,59,-3.28,18140,-3.02,27,3.85,3049,1.77
2006M04,87,0,21394,-1.41,59,-3.28,18140,-3.02,28,7.69,3254,8.65
2006M05,88,0,21570,-1.5,60,-3.23,18340,-2.98,28,7.69,3230,7.85
2006M06,88,0,21561,-1.54,60,-3.23,18331,-3.03,28,7.69,3230,7.85
2006M07,89,1.14,21825,-0.33,61,-1.61,18595,-1.63,28,7.69,3230,7.85
2006M08,89,1.14,21806,-0.42,61,-1.61,18576,-1.73,28,7.69,3230,7.85
2006M09,89,1.14,21815,-0.38,61,-1.61,18585,-1.68,28,7.69,3230,7.85
2006M10,88,0,21061,-3.82,60,-3.23,17830,-5.68,28,7.69,3231,7.88
2006M11,89,1.14,21095,-3.67,60,-3.23,17830,-5.68,29,11.54,3265,9.02
2006M12,89,2.3,21095,-1.58,60,0,17830,-3.02,29,7.41,3265,7.08
2007M01,89,2.3,21092,-1.6,60,0,17827,-3.04,29,7.41,3265,7.08
2007M02,90,4.65,21274,0.4,60,1.69,17827,-1.73,30,11.11,3447,13.05
2007M03,90,4.65,21274,0.4,60,1.69,17827,-1.73,30,11.11,3447,13.05
2007M04,90,3.45,21274,-0.56,60,1.69,17827,-1.73,30,7.14,3447,5.93
2007M05,90,2.27,21274,-1.37,60,0,17827,-2.8,30,7.14,3447,6.72
2007M06,90,2.27,21274,-1.33,60,0,17827,-2.75,30,7.14,3447,6.72
2007M07,89,0,20976,-3.89,59,-3.28,17529,-5.73,30,7.14,3447,6.72
2007M08,89,0,20976,-3.81,59,-3.28,17529,-5.64,30,7.14,3447,6.72
2007M09,89,0,20967,-3.89,59,-3.28,17529,-5.68,30,7.14,3438,6.44
2007M10,89,1.14,20967,-0.45,59,-1.67,17529,-1.69,30,7.14,3438,6.41
2007M11,89,0,20965,-0.62,59,-1.67,17527,-1.7,30,3.45,3438,5.3
2007M12,90,1.12,21171,0.36,60,0,17733,-0.54,30,3.45,3438,5.3
2008M01,90,1.12,21171,0.37,60,0,17733,-0.53,30,3.45,3438,5.3
2008M02,90,0,21171,-0.48,60,0,17733,-0.53,30,0,3438,-0.26
2008M03,90,0,21171,-0.48,60,0,17733,-0.53,30,0,3438,-0.26
2008M04,90,0,21059,-1.01,59,-1.67,17505,-1.81,31,3.33,3554,3.1
2008M05,90,0,21059,-1.01,59,-1.67,17505,-1.81,31,3.33,3554,3.1
2008M06,90,0,21051,-1.05,59,-1.67,17497,-1.85,31,3.33,3554,3.1
2008M07,90,1.12,21052,0.36,59,0,17497,-0.18,31,3.33,3555,3.13
2008M08,90,1.12,21052,0.36,59,0,17497,-0.18,31,3.33,3555,3.13
2008M09,90,1.12,21058,0.43,59,0,17503,-0.15,31,3.33,3555,3.4
2008M10,91,2.25,21308,1.63,60,1.69,17753,1.28,31,3.33,3555,3.4
2008M11,92,3.37,21771,3.84,61,3.39,18092,3.22,31,3.33,3679,7.01
2008M12,92,2.22,21771,2.83,61,1.67,18092,2.02,31,3.33,3679,7.01
2009M01,94,4.44,22075,4.27,63,5,18396,3.74,31,3.33,3679,7.01
2009M02,93,3.33,21966,3.76,63,5,18396,3.74,30,0,3570,3.84
2009M03,93,3.33,21966,3.76,63,5,18396,3.74,30,0,3570,3.84
2009M04,94,4.44,22073,4.82,63,6.78,18396,5.09,31,0,3677,3.46
2009M05,94,4.44,22020,4.56,63,6.78,18348,4.82,31,0,3672,3.32
2009M06,94,4.44,22020,4.6,63,6.78,18348,4.86,31,0,3672,3.32
2009M07,94,4.44,22020,4.6,63,6.78,18348,4.86,31,0,3672,3.29
2009M08,95,5.56,22148,5.21,63,6.78,18348,4.86,32,3.23,3800,6.89
2009M09,94,4.44,22098,4.94,63,6.78,18348,4.83,31,0,3750,5.49
2009M10,95,4.4,22459,5.4,64,6.67,18709,5.39,31,0,3750,5.49
2009M11,95,3.26,22459,3.16,64,4.92,18709,3.41,31,0,3750,1.93
2009M12,95,3.26,22395,2.87,64,4.92,18645,3.06,31,0,3750,1.93
2010M01,96,2.13,22626,2.5,65,3.17,18876,2.61,31,0,3750,1.93
2010M02,96,3.23,22626,3,65,3.17,18876,2.61,31,3.33,3750,5.04
2010M03,97,4.3,23012,4.76,66,4.76,19262,4.71,31,3.33,3750,5.04
2010M04,99,5.32,23954,8.52,67,6.35,19918,8.27,32,3.23,4036,9.76
2010M05,99,5.32,23954,8.78,67,6.35,19918,8.56,32,3.23,4036,9.91
2010M06,101,7.45,24291,10.31,68,7.94,20014,9.08,33,6.45,4277,16.48
2010M07,101,7.45,24291,10.31,68,7.94,20014,9.08,33,6.45,4277,16.48
2010M08,102,7.37,24693,11.49,68,7.94,20027,9.15,34,6.25,4666,22.79
2010M09,103,9.57,24853,12.47,69,9.52,20187,10.02,34,9.68,4666,24.43
2010M10,105,10.53,25193,12.17,69,7.81,20187,7.9,36,16.13,5006,33.49
2010M11,104,9.47,24985,11.25,68,6.25,19979,6.79,36,16.13,5006,33.49
2010M12,104,9.47,24900,11.19,68,6.25,19894,6.7,36,16.13,5006,33.49
2011M01,104,8.33,25225,11.49,69,6.15,20259,7.33,35,12.9,4966,32.43
2011M02,104,8.33,25225,11.49,69,6.15,20259,7.33,35,12.9,4966,32.43
2011M03,105,8.25,25291,9.9,69,4.55,20259,5.18,36,16.13,5032,34.19
2011M04,105,6.06,25331,5.75,69,2.99,20299,1.91,36,12.5,5032,24.68
