Date,Arrival tourism in Taiwan (person),Domestic GDP of Taiwan(millions),Tourism attractions # in Taiwan (sum),CPI of Taiwan (2011 as 100),Average exchange rate of Taiwan (US dollars),GNI of Taiwan (millions),NI of Taiwan (millions),National park # of Taiwan,National scenic area # of Taiwan,Government-owned recreational area # of Taiwan,Privately-owned recreational area # of Taiwan,International port inward & outward per ship,International Tourist Hotels room rate ($) in Taipei,Tourist Hotels room rate ($) in Taipei,Aircraft Movement daily average per plane,exchange rate 10 day buy in (NT$),exchange rate 10 day sell out (NT$),WTI oil price dollars per barrel (US$),Hong Kong CPI,Japan GDP,Japan population,Public expenditure total (NT$),Budget (NT$),National defence expenditure (NT$),Education & science & culture expenditure (NT$),Economy expediture (NT$),Social welfare (NT$),Community development & environment protection expediture (NT$),Retirement expenditure (NT$),Debt expenditure (NT$),Subsidy expenditure (NT$),Treatment adjustment expenditure (NT$),Other expenditure (NT$),Before budget (NT$),Special budget expenditure (NT$),Out of budget expenditure (NT$),Catering revenue (NT$),Restaurant revenue (NT$),Drinking revenue (NT$),Other catering revenue (NT$),International airline people,Hotel #,Hotel room #,Tourism hotel #,Tourism hotel room #,Train carrying #,Average train carrying daily people,Usage percentage of train,Train on-time rate,Train revenue (NT$),Composite retail revenue (NT$),Department revenue (NT$),Supermarket revenue (NT$),Convinent store revenue (NT$),Retail mall revenue (NT$),Other retail revenue (NT$),Food & drink retail revenue (NT$),Clothe retail revenue (NT$),Furniture trtail revenue (NT$),Drug & cosmetic retail revenue (NT$),Recreational retail revenue (NT$),Building material retail revenue (NT$),Fuel retail revenue (NT$),Technology retail revenue (NT$),Vehicle retail revenue (NT$),Other special retail revenue (NT$),No-storefront retail revenue (NT$),Two coast plane,Transit people,Intra-nation plane people
01/01/1999,192584,2413238,230,88.26,32.64,2442063,2160205,33,19,19,39,5638,3380,1890,?,32.268,32.372,12.51,73299,0,21495,-0.1,123222.2,126631000,?,?,?,?,?,?,?,?,?,?,?,?,21033245,17315108,2536572,1181566,1269477,77,19391,77,19391,14291,461008,39.99,94.48,1221836,"43,743,403 ","12,699,310 ","6,877,021 ","7,477,575 ","7,191,419 ","9,498,078 ","17,649,099 ","18,738,608 ","14,269,172 ","7,152,691 ","6,879,584 ","2,876,938 ","10,698,493 ","17,546,873 ","37,372,210 ","4,397,777 ","5,672,451 ",0,180291,2611253
01/02/1999,198321,2413238,230,89.2,32.64,2442063,2160205,33,19,19,39,4551,3380,1890,?,32.997,33.129,12.01,70198,0,29592,-0.2,123222.2,126631000,?,?,?,?,?,?,?,?,?,?,?,?,21280277,17524044,2564377,1191855,1506389,77,19409,77,19409,13747,490961,46.53,94.58,1464230,"49,046,939 ","14,419,467 ","7,301,858 ","8,811,112 ","9,088,977 ","9,425,526 ","18,237,385 ","19,916,086 ","14,795,767 ","7,416,539 ","6,986,850 ","2,894,505 ","11,288,787 ","18,248,678 ","38,650,231 ","4,278,703 ","5,715,446 ",0,135710,2782078
01/03/1999,238957,2413238,230,87.5,32.64,2442063,2160205,33,19,19,39,5859,3380,1890,?,33.081,33.217,14.68,94652,0,28588,0.0,123222.2,126631000,44019340,35531190,18287527,4581104,3100695,13076796,2443204,162085,1418634,7359642,5561668,3044700,21746638,17894121,2637046,1215471,1361279,77,19409,77,19409,15651,504857,43.55,94.82,1320177,"45,480,703 ","11,686,678 ","7,088,530 ","8,937,568 ","8,235,955 ","9,531,972 ","18,173,106 ","19,783,450 ","14,918,953 ","7,515,261 ","7,052,107 ","2,982,325 ","11,517,476 ","18,517,497 ","39,848,686 ","4,348,835 ","5,840,850 ",0,175290,2779795
01/04/1999,215189,2411196,230,88.12,32.71,2422183,2152917,33,19,19,39,6010,3380,1890,?,32.611,32.755,17.31,66560,0,32043,-0.5,124950.1,126631000,41925817,31485159,17539771,4136449,228396,37756257,2385017,170633,993638,7107746,3893669,-2364799,22181070,18281807,2691169,1208094,1540342,77,19391,77,19391,15561,518716,46.91,93.77,1386649,"45,846,940 ","11,499,530 ","7,054,918 ","9,190,419 ","8,361,205 ","9,740,868 ","18,811,453 ","20,062,786 ","14,987,077 ","7,758,582 ","7,039,890 ","2,942,617 ","11,759,106 ","18,725,452 ","38,735,736 ","4,354,651 ","5,930,586 ",0,166076,2916264
01/05/1999,215457,2411196,230,88.36,32.71,2422183,2152917,33,19,19,39,6363,3380,1890,?,32.666,32.798,17.72,71592,0,28187,-0.3,124950.1,126631000,34869430,47446932,14796466,4260895,3779160,16668404,2474397,940769,2430111,14295298,10757011,4101876,23039791,19189873,2626807,1223111,1520789,77,19391,77,19391,15569,502228,43.52,93.68,1318067,"47,910,686 ","12,275,776 ","7,404,037 ","9,419,007 ","8,729,659 ","10,082,206 ","18,340,860 ","19,807,781 ","14,785,589 ","7,921,574 ","7,141,334 ","2,848,145 ","12,061,251 ","18,092,754 ","37,998,808 ","4,321,163 ","5,977,636 ",0,176581,2793243
01/06/1999,221403,2411196,230,88.45,32.71,2422183,2152917,33,19,19,39,6163,3380,1890,?,32.208,32.352,17.92,75573,0,32149,-0.3,124950.1,126631000,27496011,73272597,18165142,7499515,2514041,22967737,4839459,-4,1763489,25148311,18984732,26186483,23081734,19161417,2729716,1190601,1623324,77,19391,77,19391,14418,480589,43.82,93.41,1311911,"46,032,284 ","10,314,341 ","7,260,787 ","9,597,681 ","8,683,722 ","10,175,754 ","19,194,844 ","19,288,715 ","14,847,421 ","7,816,840 ","7,269,930 ","2,922,878 ","12,161,015 ","18,496,660 ","40,269,665 ","4,215,095 ","6,132,589 ",0,172909,2794369
01/07/1999,219392,2429582,230,87.89,32.02,2443780,2165914,33,19,19,39,6312,3380,1890,?,32.083,32.223,20.1,74721,0,32490,-0.5,122883.2,126631000,41707904,10527150,59047598,4600153,52771261,3785152,5893964,0,872655,1468292,296044299,15241376,23596846,19650870,2745562,1200414,1797212,77,19391,77,19391,15008,484140,48.71,94.09,1502426,"46,908,258 ","10,831,190 ","7,483,670 ","9,893,320 ","8,799,857 ","9,900,222 ","19,045,336 ","19,697,125 ","15,193,530 ","7,829,388 ","7,249,256 ","2,895,104 ","12,508,751 ","18,853,736 ","40,953,852 ","4,211,878 ","6,341,146 ",0,184194,3126070
01/08/1999,220195,2429582,230,89.19,32.02,2443780,2165914,33,19,19,39,6390,3380,1890,?,31.766,31.901,21.28,82425,0,32948,-0.8,122883.2,126631000,33972083,17327521,32401615,5805095,10983048,25349279,445893,0,1100153,9165867,23604799,46851483,23366391,19451486,2740969,1173936,1763717,79,20054,79,20054,16136,520501,49.4,91.69,1583145,"47,124,702 ","10,823,914 ","7,475,353 ","9,938,872 ","9,054,134 ","9,832,429 ","19,606,010 ","19,648,320 ","15,252,089 ","7,800,792 ","7,337,302 ","2,826,346 ","12,605,545 ","19,006,091 ","39,556,439 ","4,165,812 ","6,315,609 ",0,207494,2839886
01/09/1999,179392,2429582,230,89.24,32.02,2443780,2165914,33,19,19,39,5721,3380,1890,?,31.707,31.837,23.8,64749,0,23621,-0.8,122883.2,126631000,34485734,21601292,29068586,5207500,2643012,13914773,604211,0,3478226,13764379,3478768,-5599520,22351251,18612606,2602972,1135672,1407312,78,19766,78,19766,14825,494182,43.15,90.18,1311892,"44,304,744 ","9,766,516 ","7,189,187 ","9,576,054 ","8,447,816 ","9,325,171 ","19,794,575 ","18,842,270 ","15,026,019 ","7,567,040 ","7,282,006 ","2,743,009 ","12,798,526 ","18,554,965 ","39,708,121 ","4,062,631 ","6,350,299 ",0,162274,2494236
01/10/1999,162282,2561579,230,89.79,31.7,2598087,2291047,33,19,19,39,5988,3380,1890,?,31.699,31.82,22.69,44805,0,16491,-0.3,133847.6,126631000,40298814,20905547,22269567,7431766,10492700,26952156,2193636,0,20191941,18173839,18365863,2422559,22151533,18341747,2661225,1148560,1307636,80,20272,80,20272,16058,518001,40.86,91.41,1211921,"44,057,176 ","10,043,427 ","6,954,496 ","9,412,716 ","8,497,058 ","9,149,479 ","19,495,114 ","19,248,434 ","15,213,841 ","7,683,849 ","7,249,137 ","2,963,523 ","12,796,516 ","18,846,855 ","38,384,755 ","4,144,337 ","6,223,098 ",0,150052,2380279
